"index","TS1","TS2","TS3","TS4","TS5","TS6","TS7","TS8","TS9","TS10","TS11","TS12","TS13","TS14","TS15","TS16","TS17","TS18","TS19","TS20","TS21","TS22","TS23","TS24","TS25","TS26","TS27","TS28","TS29","TS30","TS31","TS32","TS33","TS34","TS35","TS36","TS37","TS38","TS39","TS40","TS41","TS42","TS43","TS44","TS45","TS46","TS47","TS48","TS49","TS50","TS51","TS52","TS53","TS54","TS55","TS56","TS57","TS58","TS59","TS60","TS61","TS62","TS63","TS64","TS65","TS66","TS67","TS68","TS69","TS70","TS71","TS72","TS73","TS74","TS75","TS76","TS77","TS78","TS79","TS80","Left_Right","FWD"
1791,1.1516,1.0435,1.2592,0.87792,0.52508,1.0277,0.74474,0.76907,0.44724,0.47227,0.7035,0.27259,0.41819,0.16575,0.58658,0.43883,0.27145,0.38867,0.45598,0.18266,0.3286,0.46431,0.22422,0.38752,0.15155,0.18367,0.28372,0.24983,0.31248,0.34249,0.27446,0.24986,-0.065047,0.26584,0.065938,-0.0093596,-0.081502,-0.01364,0.1034,0.070323,0.033049,-0.14189,-0.0025596,-0.23653,0.15851,-0.044912,0.057551,0.080818,0.17441,0.12935,-0.19613,-0.10175,0.085019,-0.031869,-0.04583,-0.057084,-0.12515,0.20348,0.094032,0.11126,0.034821,0.15997,-0.010189,-0.013421,0.0099209,0.13891,-0.11038,-0.033332,-0.063635,-0.073941,-0.014465,-0.12435,0.042139,-0.02425,-0.071422,0.064516,-0.07069,-0.029245,-0.079889,0.0024558,-0.06503870724,0.1920386706
1801,1.0384,0.88825,1.1009,0.74153,0.44422,0.89444,0.71658,0.70855,0.37631,0.41882,0.62862,0.19998,0.38731,0.16021,0.53996,0.36687,0.26401,0.35575,0.41658,0.16205,0.30331,0.41785,0.18973,0.34831,0.15472,0.14702,0.25849,0.2408,0.28584,0.32943,0.23808,0.25018,-0.11711,0.27891,0.055372,-0.017495,-0.061323,0.0033775,0.076138,0.061121,0.035434,-0.11152,0.017505,-0.22637,0.14487,-0.052074,0.027139,0.066255,0.16178,0.12592,-0.21317,-0.10172,0.095026,-0.056861,-0.038433,-0.060619,-0.1387,0.21539,0.097802,0.10606,0.012693,0.13667,-0.0031376,-0.026379,-0.0017786,0.1302,-0.085946,0.007608,-0.071919,-0.07689,-0.029251,-0.12009,0.05118,-0.0091865,-0.069173,0.06274,-0.074261,-0.042875,-0.10816,0.014263,0.0215332014,0.15528432244
1811,0.87658,0.79415,0.94026,0.60643,0.37996,0.76973,0.67722,0.62763,0.34296,0.34248,0.49049,0.14253,0.36252,0.12761,0.48482,0.33348,0.21524,0.307,0.3829,0.12597,0.26128,0.37761,0.15799,0.35092,0.11493,0.11262,0.20365,0.20339,0.26055,0.31432,0.22231,0.23832,-0.035584,0.31066,0.061709,-0.011292,-0.033051,-0.010512,0.057719,0.039093,0.0078325,-0.1078,0.031378,-0.20572,0.13801,-0.055494,0.021649,0.074053,0.15672,0.12721,-0.23489,-0.089477,0.079106,-0.025938,-0.040329,-0.04489,-0.15471,0.2152,0.076556,0.077445,0.0077914,0.11713,-0.0067476,-0.020721,-0.011797,0.11457,-0.071979,0.087258,-0.085724,-0.068621,-0.032801,-0.099165,0.044638,0.017933,-0.11087,0.067461,-0.08526,-0.021984,-0.11417,0.025582,0.019740008362,0.09508251726
1821,0.75168,0.64597,0.75901,0.49879,0.30337,0.66414,0.63278,0.54504,0.27101,0.30145,0.42952,0.10065,0.33176,0.12924,0.41586,0.27943,0.16881,0.2796,0.35092,0.084295,0.23819,0.34234,0.118,0.33285,0.094658,0.085042,0.17466,0.15564,0.26274,0.30348,0.18988,0.20677,-0.14344,0.3018,0.06528,0.0070851,-0.018159,-0.043761,0.08512,0.042681,0.025372,-0.12441,0.015266,-0.16043,0.12915,-0.034541,0.043196,0.064452,0.14674,0.12611,-0.23376,-0.081407,0.092252,-0.036131,-0.04099,-0.034413,-0.16749,0.21702,0.031895,0.058841,-0.025559,0.11444,0.013311,0.015952,-0.028146,0.10371,-0.079554,0.12685,-0.091889,-0.055454,-0.035238,-0.067486,0.034473,0.052115,-0.084244,0.055326,-0.079065,-0.048952,-0.10935,0.011171,0.02212263626,0.06807638402
1831,0.62984,0.46656,0.59034,0.39662,0.20701,0.52674,0.57282,0.45364,0.18012,0.33696,0.42129,0.087488,0.27535,0.12287,0.37312,0.21829,0.16452,0.20329,0.297,0.058673,0.21215,0.26671,0.082896,0.29703,0.10989,0.017684,0.18746,0.12957,0.23441,0.27788,0.15757,0.16316,-0.16463,0.27473,0.059635,0.0097086,-0.0089938,-0.041193,0.059087,0.042218,0.039077,-0.10516,0.024073,-0.11178,0.12827,-0.021838,0.051234,0.080997,0.13883,0.11647,-0.1483,-0.068013,0.10748,-0.078827,-0.046538,-0.043842,-0.16979,0.18814,0.0077604,0.053085,-0.042507,0.093301,0.017884,0.020496,-0.052268,0.088906,-0.057005,0.12196,-0.080501,-0.070048,-0.047819,-0.037492,0.020618,0.039986,-0.042276,0.057444,-0.090078,-0.039621,-0.080717,0.015873,0.014771343814,0.04250890484
1841,0.48154,0.32595,0.41157,0.29916,0.14136,0.42533,0.48863,0.37852,0.10194,0.23975,0.30761,0.032594,0.20929,0.11408,0.28804,0.15322,0.15031,0.13812,0.23441,0.018487,0.13078,0.17137,0.064302,0.25734,0.049598,-0.071178,0.1454,0.08841,0.21309,0.2328,0.12502,0.12848,-0.15407,0.25205,0.047123,-0.0053697,0.015189,-0.08183,0.048827,0.047278,0.042864,-0.099222,0.016419,-0.12251,0.10118,-0.052776,0.054658,0.06286,0.10218,0.098595,-0.12752,-0.066467,0.12982,-0.085096,-0.046196,-0.055381,-0.15384,0.18537,-0.011421,0.021709,-0.059136,0.093246,0.011971,0.0023681,-0.083296,0.069584,-0.051088,0.13462,-0.070629,-0.067408,-0.063988,-0.028574,0.029094,0.033908,-0.041741,0.062346,-0.107,-0.0061257,-0.059335,0.025544,0.01074974883,0.02583843742
1851,0.33516,0.1815,0.26362,0.2064,0.087354,0.33825,0.41473,0.30109,0.037779,0.15758,0.20128,-0.0010587,0.16421,0.098416,0.22791,0.1145,0.11344,0.099889,0.16151,-0.01508,0.078233,0.10842,0.010504,0.21806,-0.001695,-0.12863,0.084646,0.050271,0.15991,0.2271,0.092194,0.10428,-0.14575,0.21306,0.032876,-0.031593,0.0074765,-0.10897,0.050208,0.060928,0.046652,-0.11829,0.027459,-0.10719,0.090555,-0.052839,0.036982,0.080366,0.076292,0.050256,-0.14292,-0.044227,0.13755,-0.095218,-0.035553,-0.075601,-0.13508,0.17965,-0.051812,0.014381,-0.062788,0.086984,0.00056522,0.010129,-0.085642,0.032879,-0.075057,0.12409,-0.065573,-0.055413,-0.074183,-0.034487,0.02276,0.050117,-0.038819,0.052274,-0.10084,0.0021226,-0.051178,0.028018,0.006205469498,0.016929022636
1861,0.19676,0.039248,0.13773,0.10301,0.031765,0.25306,0.35327,0.21116,-0.025991,0.13836,0.10492,-0.050241,0.11913,0.069226,0.17006,0.043007,0.04978,0.044022,0.10152,-0.026827,0.032602,0.0499,-0.015791,0.16394,-0.045483,-0.17051,0.040509,0.027486,0.10881,0.19912,0.039043,0.078331,-0.15182,0.1761,0.041998,-0.030142,0.014345,-0.10052,0.040088,0.066118,0.037007,-0.13329,-0.017654,-0.066124,0.065121,-0.040935,-0.010965,0.065029,0.04937,0.025458,-0.16099,-0.017752,0.14374,-0.12834,-0.038577,-0.084659,-0.10811,0.1809,-0.034044,-0.023048,-0.092752,0.085712,0.0060587,0.017189,-0.075379,-0.0011608,-0.085718,0.10195,-0.058758,-0.063894,-0.091626,-0.042026,-0.014837,0.055419,-0.075218,0.049844,-0.093888,-0.010511,-0.031208,0.020357,0.004124096306,0.011827325658
1871,0.080338,-0.052704,0.049065,0.01424,-0.031244,0.16438,0.28197,0.13337,-0.070018,0.12343,0.049283,-0.11583,0.071812,0.030661,0.12633,0.0068176,-0.011629,-0.0081877,0.046643,-0.044626,0.026897,-0.012175,-0.028841,0.12887,-0.05311,-0.17116,-0.01561,0.013421,0.095074,0.17223,0.028052,0.041244,-0.17341,0.16167,0.049178,-0.010284,0.027301,-0.057518,0.06404,0.039139,0.021744,-0.12792,-0.020461,-0.07279,0.044333,-0.01273,-0.061397,0.016757,0.038411,0.0083879,-0.14657,-0.0058476,0.16532,-0.13531,-0.045639,-0.07827,-0.10571,0.15818,-0.039599,-0.047083,-0.084217,0.073223,0.0065275,0.032595,-0.08355,0.0029778,-0.081318,0.073208,-0.058967,-0.049644,-0.097274,-0.050418,-0.049161,0.057268,-0.080715,0.06295,-0.08254,-0.049377,-0.0086786,0.02961,0.002653547894,0.009106894
1881,-0.001106,-0.16173,-0.013991,-0.048965,-0.085294,0.092774,0.22349,0.070708,-0.13629,0.10404,0.0044259,-0.16811,0.037653,-0.014053,0.092785,-0.027969,-0.051978,-0.042378,0.018045,-0.073623,0.0077182,-0.032144,-0.051532,0.083109,-0.056871,-0.16774,-0.040959,0.0079032,0.04911,0.1453,-0.0058089,0.024286,-0.17746,0.1286,0.058022,-0.013588,0.044443,-0.017276,0.072189,0.030495,0.019363,-0.13486,-0.028404,-0.059687,0.060444,-0.0033176,-0.10343,0.00028674,0.017815,-0.017822,-0.15866,0.0045182,0.16688,-0.13075,-0.022446,-0.034167,-0.07694,0.13301,-0.038006,-0.044612,-0.089186,0.068567,0.015553,0.021375,-0.099248,-0.007275,-0.097865,0.057048,-0.044116,-0.044635,-0.10969,-0.069003,-0.049798,0.059779,-0.058333,0.084655,-0.078613,-0.060102,-0.025981,0.024555,0.0010342997504,0.007840988112
